Rank,Title,Artist,Album,Streams (In Millions),Publication Date
1,"""One Dance""[10]",Drake featuring WizKid and Kyla,Views [11],1011,6-May-16
2,"""Lean On""[12]",Major Lazer and DJ Snake featuring MØ,Peace Is the Mission [13],909,1-Jun-15
3,"""Sorry""[14]",Justin Bieber,Purpose (Deluxe) [15],828,13-Nov-15
4,"""Love Yourself""[16]",Justin Bieber,Purpose (Deluxe) [15],782,13-Nov-15
5,"""Thinking Out Loud""[17]",Ed Sheeran,x (Deluxe Edition) [18],770,21-Jun-14
6,"""What Do You Mean?""[19]",Justin Bieber,Purpose (Deluxe) [15],750,13-Nov-15
7,"""I Took a Pill in Ibiza""[20]",Mike Posner,"At Night, Alone. [21]",730,6-May-16
8,"""Cheerleader""[22]",OMI,Me 4 U [23],708,2-Dec-14
9,"""Don't Let Me Down""[25]",The Chainsmokers featuring Daya,Collage EP [26],694,5-Feb-16
10,"""Closer""[28]",The Chainsmokers featuring Halsey,Collage EP [26],678,29-Jul-16
11,"""Uptown Funk""[30]",Mark Ronson featuring Bruno Mars,Uptown Special [31],665,12-Jan-15
12,"""Can't Feel My Face""[32]",The Weeknd,Beauty Behind the Madness [33],648,28-Aug-15
13,"""Hello""[34]",Adele,25 [35],632,23-Oct-15
14,"""7 Years""[37]",Lukas Graham,Lukas Graham [38],624,1-Apr-16
15,"""Stitches""[39]",Shawn Mendes,Handwritten [40],623,14-Apr-15
16,"""Cheap Thrills""[41]",Sia,This Is Acting [42],616,17-Dec-15
17,"""Take Me to Church""[44]",Hozier,Hozier [45],611,29-Nov-13
18,"""Stressed Out""[47]",Twenty One Pilots,Blurryface [48],603,28-Apr-15
19,"""Where Are Ü Now""[50]",Skrillex and Diplo featuring Justin Bieber,Skrillex and Diplo Present Jack Ü [51],600,24-Feb-15
20,"""See You Again""[52]",Wiz Khalifa featuring Charlie Puth,Furious 7: Original Motion Picture Soundtrack [53],599,10-Mar-15
21,"""Work""[55]",Rihanna featuring Drake,ANTI (Deluxe) [56],595,29-Jan-16
22,"""This Is What You Came For""[57]",Calvin Harris featuring Rihanna,This Is What You Came For [58],585,29-Apr-16
23,"""Cold Water""[59]",Major Lazer featuring MØ and Justin Bieber,Cold Water [60],580,22-Jul-16
24,"""Hotline Bling""[61]",Drake,Views [11],575,31-Jul-15
25,"""Work from Home""[63]",Fifth Harmony featuring Ty Dolla $ign,7/27 (Deluxe) [64],574,27-May-16
26,"""Sugar""[65][66]",Maroon 5,V [67],565,10-Mar-15
27,"""Faded""[69]",Alan Walker,Faded [70],559,4-Dec-15
28,"""Stay with Me""[71]",Sam Smith,In the Lonely Hour [72],554,1-Jan-14
29,"""Chandelier""[73]",Sia,1000 Forms of Fear [74],553,17-Mar-14
30,"""Light It Up""[76]",Major Lazer featuring Nyla and Fuse ODG,Peace Is the Mission (Extended) [77],551,27-Nov-15
31,"""Photograph""[78]",Ed Sheeran,× (Deluxe Edition) [18],538,21-Jun-14
32,"""Me, Myself & I""[79]",G-Eazy and Bebe Rexha,When It's Dark Out [80],538,14-Oct-15
33,"""Love Me Like You Do""[82]",Ellie Goulding,Fifty Shades of Grey (Original Motion Picture Soundtrack) [83],537,10-Feb-15
34,"""The Hills""[84]",The Weeknd,Beauty Behind the Madness [33],532,28-Aug-15
35,"""Let Her Go""[85]",Passenger,All the Little Lights [86],522,24-Jul-12
36,"""Radioactive""[88]",Imagine Dragons,Night Visions [89],521,1-Jan-12
37,"""All of Me""[90]",John Legend,Love in the Future [91],519,8-Aug-13
38,"""Lush Life""[93]",Zara Larsson,Lush Life [94],513,9-Jun-15
39,"""Let Me Love You""[95]",DJ Snake featuring Justin Bieber,Encore [96],511,5-Aug-16
40,"""Rather Be""[97]",Clean Bandit featuring Jess Glynne,New Eyes [98],507,17-Jan-14
41,"""Panda""[100]",Desiigner,New English [101],502,26-Feb-16
42,"""Counting Stars""[103]",OneRepublic,Native (Deluxe) [104],486,26-Mar-13
43,"""Can't Stop the Feeling!""[105]",Justin Timberlake,TROLLS (Original Motion Picture Soundtrack) [106],485,6-May-16
44,"""Trap Queen""[108]",Fetty Wap,Fetty Wap (Deluxe) [109],481,15-Dec-14
45,"""Wake Me Up""[111]",Avicii featuring Aloe Blacc,True [112],478,30-Jul-13
46,"""Roses""[114]",The Chainsmokers featuring Rozes,Bouquet [115],477,16-Jun-15
47,"""Sugar""[117]",Robin Schulz featuring Francesco Yates,SUGAR [118],477,17-Jul-15
48,"""Cake by the Ocean""[120]",DNCE,DNCE [121],474,18-Sep-15
49,"""Happy""[122]",Pharrell Williams,Despicable Me 2 (Original Motion Picture Soundtrack) [123],473,18-Jun-13
50,"""Firestone""[124]",Kygo featuring Conrad Sewell,Cloud Nine [125],471,28-Aug-15
